geneIndex;muA;muB;lfc;difExpr;stats;pval;local.fdr;fdr;gene_names
22721;49,9640093213973;252,169374831886;-1,61082141975441;-202,205365510489;-9,53945721575704;0;3,69306292324481e-36;3,69306292324481e-36;FBtr0304129
25091;79,9978778879573;290,200008848901;-1,28406101556804;-210,202130960944;-9,07170336785066;0;3,7777410648564e-32;1,30751242425249e-33;FBtr0308064
11746;1883,34237529915;3812,55128067266;-0,7051162219509;-1929,20890537352;-6,35262665451118;2,11669126670699e-10;2,81370470530003e-14;5,44718661007296e-16;FBtr0084860
21954;24,2047506769235;81,5741124159285;-1,2006270887863;-57,3693617390051;-5,31372295203276;1,07407878591204e-07;2,72647396406235e-10;2,84123640813481e-11;FBtr0302946
8435;24,2047506769235;81,6299797129271;-1,20130755050232;-57,4252290360036;-5,30850633285978;1,1052724602223e-07;2,83919532892397e-10;2,84123640813481e-11;FBtr0080656
7562;31,5434446421277;8,9773424157461;1,21818868602573;22,5661022263816;5,27164117074266;1,35209228702138e-07;2,20729166536548e-07;1,58311022239236e-08;FBtr0079520
13486;15,0105502329016;41,5513618859227;-0,997371320625177;-26,5408116530211;-5,2598707486904;1,44156694581454e-07;3,89011916419529e-10;2,84123640813481e-11;FBtr0086973
2387;15404,2804029648;8816,48268156967;0,557998165133502;6587,79772139515;5,22427414398494;1,74839586586373e-07;2,20729166536548e-07;4,11693893907557e-08;FBtr0073040
25246;476,290266181387;268,387820280616;0,572782433011107;207,902445900772;5,0502047144128;4,41336840850681e-07;8,72007567500925e-07;1,98889901598126e-07;FBtr0308328
25245;512,95352053085;291,289783950341;0,565125885214846;221,663736580509;5,01101732508887;5,41430393630193e-07;1,18019102500893e-06;1,98889901598126e-07;FBtr0308327
9958;372,623845820588;695,810606459716;-0,623885443569041;-323,186760639127;-5,00060832000359;5,7149708942994e-07;3,1297918919002e-09;2,67703888022348e-10;FBtr0082569
25243;498,694748965044;284,326929244352;0,561114568100943;214,367819720691;4,97247402678135;6,61038298099825e-07;1,48330912348658e-06;3,02212345735476e-07;FBtr0308325
25247;461,40235237201;262,513289436193;0,563148949163443;198,889062935817;4,96700771883104;6,79938827907733e-07;1,52629809807749e-06;3,02212345735476e-07;FBtr0308329
20092;6843,9738367416;11524,739580567;-0,521097789045171;-4680,76574382536;-4,91328191648574;8,95643471388041e-07;6,88781875071561e-09;7,75853933713717e-10;FBtr0300730
11772;6844,054489759;11524,795447864;-0,52109085282042;-4680,74095810496;-4,91322325737443;8,95911592024845e-07;6,89041927714933e-09;7,75853933713717e-10;FBtr0084892
20091;6816,21433455779;11477,9068247626;-0,52109001628912;-4661,69249020483;-4,91316972908916;8,96156327812037e-07;6,89279233936766e-09;7,75853933713717e-10;FBtr0300729
11773;7195,03742540645;11993,0719751702;-0,510909805691983;-4798,03454976375;-4,82721980826357;1,38452281150947e-06;1,40471955375593e-08;2,17824783419471e-09;FBtr0084893
1159;132,000069741959;70,1043872120766;0,629490887397952;61,895682529882;4,82342623795346;1,41112967044776e-06;4,63733354105105e-06;1,07895506597447e-06;FBtr0071466
13316;1324,77099337563;790,857322414077;0,515622640007784;533,913670961551;4,77327205177624;1,81256679665509e-06;7,04158812413065e-06;1,07895506597447e-06;FBtr0086752
20799;11,3490006587724;0,766300996831324;2,23614348175781;10,5826996619411;4,71211256942843;2,45161880596534e-06;9,97340652138114e-06;1,59464092201278e-06;FBtr0301484
25143;1028,4030663908;1813,90940469736;-0,567266767246368;-785,506338306554;-4,6997008118367;2,60542914154449e-06;3,8562108808789e-08;5,94682255834407e-09;FBtr0308188
17124;1028,5643724256;1814,13287388535;-0,567233160783437;-785,568501459752;-4,69493164845779;2,66695885375867e-06;4,00601743939903e-08;5,94682255834407e-09;FBtr0112363
6884;107,241054636818;57,7683560947785;0,614671537031012;49,4726985420397;4,56793458568393;4,92553688125064e-06;2,89206115561511e-05;5,46263304916e-06;FBtr0078679
25244;460,724720902268;277,604473045504;0,505888542804325;183,120247856764;4,5162897705996;6,29325341616749e-06;4,21300213511075e-05;5,46263304916e-06;FBtr0308326
14012;305,057569923469;175,109026031314;0,553878124809964;129,948543892155;4,50070522711669;6,77283765071479e-06;4,61161450500083e-05;5,46263304916e-06;FBtr0087640
410;49,7863778516552;91,9173014002989;-0,608579983342221;-42,1309235486437;-4,49433432517544;6,97879121047684e-06;1,73336883295631e-07;4,11693893907557e-08;FBtr0070504
16693;455,855811460506;259,224857952915;0,563649961495292;196,630953507591;4,46622718336743;7,96110697520724e-06;5,49347381279147e-05;7,94887017201648e-06;FBtr0100640
19278;458,968871808463;263,861117983858;0,552755156271266;195,107753824605;4,46136016584826;8,14410808747112e-06;5,6567207950261e-05;1,20134763009276e-05;FBtr0299823
22534;453,646016199538;257,530458483937;0,565341133824268;196,115557715601;4,44401676992445;8,82947178504345e-06;6,62905704796668e-05;1,20134763009276e-05;FBtr0303847
16423;18,4623045460629;4,02425916183156;1,43299919462275;14,4380453842314;4,40583004029875;1,05379567405528e-05;8,76994927918875e-05;1,20134763009276e-05;FBtr0100322
11714;212,941100024843;467,903236362871;-0,785968624595965;-254,962136338027;-4,38339075508385;1,16846255364678e-05;4,04430807922247e-07;7,66962790326025e-08;FBtr0084811
17404;114,401873592947;60,5051280277712;0,633120564344735;53,8967455651758;4,38105628423202;1,18105355029208e-05;0,000101588595739776;1,20134763009276e-05;FBtr0112743
19038;2696,08163051986;1697,35281371801;0,462620506118112;998,728816801846;4,37323492162229;1,22418866406182e-05;0,000105973546902879;1,20134763009276e-05;FBtr0299528
8222;283,97472505207;171,623970578635;0,502429433363205;112,350754473435;4,33939108532963;1,42878057050044e-05;0,000124947679253022;1,73230468595646e-05;FBtr0080365
344;1072,05950163893;1699,93141410012;-0,460834142202591;-627,87191246119;-4,33693676201135;1,44482170869598e-05;6,17558858424851e-07;1,98889901598126e-07;FBtr0070426
24748;201,293196952992;119,350803926671;0,520995726891134;81,9423930263215;4,33279677014694;1,47227004891892e-05;0,000131998793354355;2,59356151618094e-05;FBtr0307093
22270;80,0775567480213;152,810961109188;-0,643248125880346;-72,7334043611667;-4,31933604476216;1,56499325549841e-05;7,0912191669135e-07;1,98889901598126e-07;FBtr0303413
3748;422,126281213923;260,058030848004;0,483662689030192;162,068250365919;4,31523462741965;1,59433475110937e-05;0,000152810372820338;2,59356151618094e-05;FBtr0074746
7374;1769,79047652231;2790,12413739608;-0,455121631824345;-1020,33366087378;-4,31320688204893;1,60903421893011e-05;7,41007258333471e-07;1,98889901598126e-07;FBtr0079282
4581;371,962296246459;228,459149405523;0,486592213800439;143,503146840936;4,30383195940011;1,67869008720345e-05;0,000166322820321635;2,59356151618094e-05;FBtr0075781
8130;208,584132310025;124,564117486621;0,513910172215878;84,0200148234042;4,29744829975697;1,72775541358305e-05;0,000173887617055724;2,59356151618094e-05;FBtr0080235
4049;0,0580653017397854;5,30920699279848;-2,3427233667369;-5,25114169105869;-4,28857552575781;1,79822654422512e-05;8,69145349488323e-07;1,98889901598126e-07;FBtr0075099
13323;26,9303842941707;52,7785117228229;-0,663881777865138;-25,8481274286522;-4,28719088003468;1,80946800312221e-05;8,76348601221192e-07;1,98889901598126e-07;FBtr0086760
80;50,9798476776767;25,23182336258;0,693461934838386;25,7480243150967;4,27922457906511;1,87545554846125e-05;0,000195483182997402;2,59356151618094e-05;FBtr0070101
81;50,9798476776767;25,23182336258;0,693461934838386;25,7480243150967;4,27922457906511;1,87545554846125e-05;0,000195483182997402;2,59356151618094e-05;FBtr0070102
3570;166,808548230605;98,4049212718317;0,525680704439386;68,4036269587732;4,26931218054961;1,96076677592139e-05;0,000207229623771013;2,59356151618094e-05;FBtr0074509
22398;9,84875711943892;0,766300996831324;2,10076637774814;9,0824561226076;4,25156152411437;2,12285174239213e-05;0,000228264596707503;2,59356151618094e-05;FBtr0303603
3652;1286,94034450803;2010,38428678251;-0,445918550877442;-723,443942274481;-4,21750029121869;2,47025501010079e-05;1,48060124951288e-06;4,69471129551571e-07;FBtr0074626
11362;28,382138607332;54,5846457857974;-0,645647653667528;-26,2025071784654;-4,20883315330886;2,56692840634454e-05;1,59058959505547e-06;4,69471129551571e-07;FBtr0084353
20356;127,339007246496;209,375993730594;-0,495745133861244;-82,0369864840976;-4,2039224966936;2,62328793620981e-05;1,65290716773744e-06;4,69471129551571e-07;FBtr0301011
14040;510,292701574722;321,85475758838;0,460311165106974;188,437943986341;4,16938889807941;3,05417454760093e-05;0,000380051354225166;5,48369515695419e-05;FBtr0087671
9634;226,181354301703;131,433618157633;0,541246402444381;94,7477361440695;4,12728227962161;3,67075694589492e-05;0,000481645476036167;5,48369515695419e-05;FBtr0082141
8996;749,339721265289;1206,47130872798;-0,47600997137167;-457,131587462691;-4,09902782466542;4,14889161104437e-05;3,44341422814435e-06;7,0012901543465e-07;FBtr0081350
2941;62,2705394953758;33,3311301874976;0,618104457006416;28,9394093078782;4,01622425297276;5,91379854411045e-05;0,00091856263148579;0,000113318616410861;FBtr0073725
16692;426,40235237201;231,471629723824;0,609940225591521;194,930722648186;3,99951298434271;6,3472965543987e-05;0,000997551772322391;0,000113318616410861;FBtr0100639
2500;699,187678024769;1122,28848514973;-0,472936527729793;-423,10080712496;-3,99692628354489;6,41702730530547e-05;6,67847670744492e-06;1,59464092201278e-06;FBtr0073172
7309;513,616287801647;332,386105882578;0,434649073625674;181,230181919069;3,95715611986136;7,58473623514444e-05;0,00122956424216742;0,00022843987457284;FBtr0079202
21116;371,092412647363;238,12056368659;0,442922897945003;132,971848960773;3,95067972907395;7,79295506381228e-05;0,00128719515784394;0,00022843987457284;FBtr0301830
22535;257,539539713188;150,872535033385;0,533368909983135;106,667004679803;3,91521489585467;9,03237217801944e-05;0,00160278309560668;0,00022843987457284;FBtr0303848
9125;131,418929645894;79,9624254625436;0,494397253542194;51,4565041833501;3,91057707297914;9,20758730111881e-05;0,00164405330116355;0,00022843987457284;FBtr0081502
24431;1074,95131207764;2250,25789179922;-0,738526601631663;-1175,30657972158;-3,89498759096594;9,82037571592986e-05;1,37831765506518e-05;2,44453721013773e-06;FBtr0306639
17185;160,516882255572;258,05744967544;-0,473608693497038;-97,540567419868;-3,87520477594865;0,000106535071200176;1,52644376889075e-05;3,58591317455297e-06;FBtr0112433
3460;2621,09723363641;1665,82382369286;0,453163866360984;955,27340994355;3,87029459008903;0,000108703916116726;0,0020025116541085;0,000314261967299517;FBtr0074364
2691;1108,42231429775;729,758331296545;0,417745584638649;378,663983001206;3,86904228231441;0,000109263694680894;0,00201365546030082;0,000314261967299517;FBtr0073415
2693;1033,3536030073;684,526620926211;0,41159076170635;348,826982081087;3,86116652512446;0,000112846955597767;0,00208373880045152;0,000314261967299517;FBtr0073417
20726;1033,3536030073;684,526620926211;0,41159076170635;348,826982081087;3,86116652512446;0,000112846955597767;0,00208373880045152;0,000314261967299517;FBtr0301409
5213;127,080235680689;230,335903224832;-0,59296161630638;-103,255667544143;-3,84692623108324;0,000119608962941165;1,96800888404229e-05;3,58591317455297e-06;FBtr0076567
2689;1036,46666335525;687,896313685208;0,409690351093714;348,570349670046;3,8448700799942;0,000120616325790746;0,00222875461033068;0,000314261967299517;FBtr0073413
10942;239,81244485994;367,911176194231;-0,427259710790428;-128,098731334291;-3,83975966696942;0,000123154810514503;2,07991367699473e-05;5,46263304916e-06;FBtr0083815
2216;244,941343564177;402,31019312667;-0,495407473932881;-157,368849562493;-3,83953480504038;0,000123267654372095;2,08342486132414e-05;5,46263304916e-06;FBtr0072824
4902;393,803425604998;218,736062867963;0,586971666734777;175,067362737036;3,83486781073659;0,000125631842529561;0,00235688349106622;0,000448469934479325;FBtr0076188
4901;393,561466552805;218,680195570964;0,586612701289824;174,88127098184;3,82819338831174;0,000129087313019527;0,00246419979185676;0,000448469934479325;FBtr0076187
13171;74,3360847744947;42,1001189564611;0,563443139749573;32,2359658180335;3,8131027254105;0,000137233038890905;0,00270683863248651;0,000448469934479325;FBtr0086577
17405;197,276627978713;117,702355855245;0,514740216475415;79,5742721234677;3,79998932287188;0,00014470232228625;0,00291768561843429;0,000448469934479325;FBtr0112744
9459;6416,49016217655;9511,75336685751;-0,393631609903541;-3095,26320468096;-3,79378944110864;0,000148365500539427;2,79773166134882e-05;5,46263304916e-06;FBtr0081930
13172;70,1423714091397;40,0429448669615;0,555268346670906;30,0994265421782;3,77669334415913;0,000158924201111077;0,00329225559612092;0,000448469934479325;FBtr0086578
22046;3,23569677148184;11,3138529902385;-1,15133847199459;-8,07815621875668;-3,76659793222695;0,000165487187449465;3,22232287732648e-05;5,46263304916e-06;FBtr0303076
5636;4063,71732342662;2525,02026913877;0,475774095412854;1538,69705428785;3,75995088273993;0,000169946720638858;0,00356145327515112;0,000448469934479325;FBtr0077123
2042;44,9311149121711;23,7608930815968;0,627331505025434;21,1702218305743;3,74728181566374;0,000178761210782197;0,0037651559068608;0,000608164585234005;FBtr0072613
2043;44,9311149121711;23,7608930815968;0,627331505025434;21,1702218305743;3,74728181566374;0,000178761210782197;0,0037651559068608;0,000608164585234005;FBtr0072614
8306;136,774436124711;85,4741816864438;0,467935067291478;51,3002544382676;3,74539598620902;0,000180109458861599;0,00379547766777433;0,000608164585234005;FBtr0080477
18727;40,6245847381925;20,6797270871025;0,663561656798687;19,94485765109;3,74533925562242;0,000180150165375537;0,00379638982410907;0,000608164585234005;FBtr0273443
5637;4069,23364886157;2528,16649270978;0,475885468968216;1541,06715615179;3,73737487911427;0,000185951573030696;0,00392444696082485;0,000608164585234005;FBtr0077124
2041;44,6891558599775;23,6491584875997;0,626607609194301;21,0399973723778;3,72895026639686;0,000192279092510406;0,00405990411574793;0,000608164585234005;FBtr0072612
2888;397,271261813773;262,455245279384;0,413893273352426;134,816016534389;3,72808571196309;0,00019293976312329;0,00407380506144163;0,000608164585234005;FBtr0073659
3997;109,531502915184;175,896004749182;-0,47196477957342;-66,3645018339986;-3,72739927102565;0,000193465842614371;4,28135318311987e-05;7,94887017201648e-06;FBtr0075040
18726;40,4632787033968;20,6797270871025;0,659631569313035;19,7835516162943;3,7234037509333;0,000196554813659766;0,00414908509410661;0,000608164585234005;FBtr0273442
21117;386,190121717708;255,147996511893;0,413822168551888;131,042125205814;3,72080121123851;0,000198591719452246;0,00419093065240782;0,000608164585234005;FBtr0301831
17406;173,22667751654;91,2638231554629;0,638265108633197;81,9628543610767;3,71696429448911;0,00020163092590475;0,00425262343805676;0,000608164585234005;FBtr0112745
911;58,2064554522578;30,2775350315342;0,645764652662455;27,9289204207236;3,71586404318938;0,000202510459113681;0,00427031409230536;0,000608164585234005;FBtr0071142
2690;1129,74590052468;745,182541828037;0,415890536630839;384,56335869664;3,71504531791484;0,000203167279850147;0,00429298743243144;0,00085606648015415;FBtr0073414
5110;4627,39956554449;6802,58662475056;-0,385273316983483;-2175,18705920606;-3,71390980210095;0,00020408155825935;4,73779525808887e-05;1,20134763009276e-05;FBtr0076452
14355;253,829987991554;429,018389191667;-0,524031966700501;-175,188401200113;-3,70862628916065;0,000208386720124798;4,91657306046646e-05;1,20134763009276e-05;FBtr0088061
2695;897,249074835615;603,844813720179;0,395745683883471;293,404261115436;3,70765082851259;0,000209190824004946;0,0044988841847801;0,00085606648015415;FBtr0073419
23619;919,379191236519;619,772555544595;0,394083360389374;299,606635691924;3,69573620092942;0,000219250535388404;0,00483064247008827;0,00085606648015415;FBtr0305149
2696;897,974951992196;605,43666887467;0,393923354451985;292,538283117526;3,69177094813962;0,000222697982823705;0,00494105342982448;0,00085606648015415;FBtr0073420
2694;929,831432628348;628,009716562167;0,392189413994903;301,821716066181;3,68031725363213;0,000232943953383691;0,00525997720849268;0,00085606648015415;FBtr0073418
7697;138,45182405512;86,9436607275531;0,463132574937046;51,5081633275668;3,67479461403121;0,000238040825055297;0,00541375301319902;0,00085606648015415;FBtr0079695
21043;38,3984640422784;18,3050041546952;0,72683175221258;20,0934598875832;3,67361152483941;0,000239146227568821;0,00544669568294665;0,00085606648015415;FBtr0301750
11448;1046,38771511319;678,893214208866;0,432376892960309;367,494500904325;3,66830963221699;0,000244159388344878;0,00559432487177563;0,00085606648015415;FBtr0084477
11447;1042,46812459126;677,757487709874;0,43029890203253;364,710636881381;3,66567478576232;0,000246687256965528;0,00566769117179192;0,00085606648015415;FBtr0084476
2605;18,0105502329016;6,56585836529767;0,963066348195841;11,4446918676039;3,65892304273142;0,000253277376797589;0,00585569089525276;0,00085606648015415;FBtr0073300
9589;6,23569677148184;29,47556107466;-1,49296115900888;-23,2398643031781;-3,65691784231349;0,000255266152120015;6,66622761722469e-05;1,20134763009276e-05;FBtr0082093
22033;6,23569677148184;29,47556107466;-1,49296115900888;-23,2398643031781;-3,65691784231349;0,000255266152120015;6,66622761722469e-05;1,20134763009276e-05;FBtr0303038
24851;642,558048702532;432,880971724204;0,39461781459547;209,677076978328;3,65487232252392;0,000257309998654032;0,00596848166281312;0,00085606648015415;FBtr0307285
2692;1112,4866418802;749,548655653498;0,394664270668162;362,937986226705;3,6548020937888;0,000257380441661681;0,00597043715530183;0,00085606648015415;FBtr0073416
