Transcript	CMR1	CMR2	CFR1	CFR2	IMR1	IMR2	IFR1	IFR2	DMR1	DMR2	DFR1	DFR2	FMR1	FMR2	FFR1	FFR2	TMR1	TMR2	TFR1	TFR2
FBtr0005009	9734	74112	8440	27216	10096	49108	31140	13774	7833	46223	9534	17661	7595	31473	16963	15724	7276	35734	26816	7388
FBtr0005088	2359	12039	4989	22062	3026	11625	23034	9220	1520	10201	5521	11854	2618	5406	11079	11113	1849	7586	15723	8843
FBtr0005673	96	745	609	3288	189	977	3318	1089	81	697	601	1367	323	370	930	1767	137	435	1404	1431
FBtr0005674	149	1252	1983	8315	269	1260	9645	3187	126	983	1789	4345	1235	562	1729	4569	184	676	4327	3940
FBtr0006151	68312	530112	17888	61074	63010	193281	97417	33099	53236	226913	30617	62989	15033	127842	50493	29702	41111	207438	57553	27692
FBtr0070000	244	717	210	685	278	1163	845	274	182	1017	221	383	99	581	856	328	187	805	646	152
FBtr0070001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070002	2109	19882	0	0	3171	20976	0	0	2105	14341	0	0	0	8480	0	0	2244	10821	0	0
FBtr0070003	2	6	2	10	4	6	14	4	2	4	4	10	2	10	6	6	0	4	18	2
FBtr0070006	2543	15633	1503	5599	3131	9344	7724	1776	2403	10154	1834	4558	1431	6775	4647	3354	2096	7889	4454	1755
FBtr0070007	862	5833	1204	5446	1006	3499	6928	2012	664	3480	1422	3851	729	1954	2419	2754	627	3135	4248	1894
FBtr0070008	620	4510	1422	5352	554	3154	6504	2396	433	2589	1322	3334	736	1393	1498	2945	483	2132	3824	2202
FBtr0070025	2309	16210	2545	8140	2461	10202	10516	4173	1969	10207	2685	5842	1420	5769	3806	4354	1785	7857	7760	3195
FBtr0070026	1635	11135	1312	5630	1986	10515	6870	2145	1324	7275	1488	3732	828	4540	2453	3068	1328	5469	3677	2315
FBtr0070027	39	315	584	3321	75	458	3691	1214	34	263	620	1649	269	108	868	1713	59	186	1715	1235
FBtr0070028	591	3678	1190	5594	693	3120	6739	2432	417	2707	1442	3137	580	1213	2504	3308	590	2162	3560	2007
FBtr0070029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070032	5	10	0	2	6	24	0	9	2	15	0	2	0	13	0	0	5	5	0	0
FBtr0070033	25	117	8	62	16	124	37	19	29	70	10	20	9	52	24	19	13	39	23	4
FBtr0070034	51	264	40	173	58	375	173	74	39	198	39	84	33	87	65	135	42	178	100	40
FBtr0070035	732	6488	0	0	754	6038	1	2	597	4458	0	0	6	2573	0	2	628	3469	0	0
FBtr0070036	168	1647	130	332	160	799	445	189	168	795	142	279	87	398	243	197	134	707	361	138
FBtr0070038	2006	9783	5459	19467	2154	10028	24277	9222	1207	9559	4808	9245	3042	4471	5973	11729	1887	7068	11871	9746
FBtr0070040	11197	73427	7856	23938	7703	21906	35447	14110	4602	37073	7820	15592	4947	24348	19122	12131	8062	25765	17704	8572
FBtr0070041	11223	73611	7891	24039	7723	21983	35615	14196	4615	37219	7852	15660	4980	24412	19181	12187	8088	25901	17777	8612
FBtr0070042	4176	23619	21798	74453	3383	17484	97014	45626	2207	18786	17881	39835	15741	9642	17165	38770	3332	14834	43018	32762
FBtr0070043	4176	23619	21798	74453	3383	17484	97013	45625	2207	18786	17880	39835	15740	9641	17165	38770	3333	14834	43017	32761
FBtr0070044	4159	23540	21584	73730	3357	17377	95986	44977	2193	18663	17704	39454	15554	9554	16949	38437	3313	14755	42555	32405
FBtr0070045	241	762	1128	2343	110	775	4115	3572	84	889	1113	2022	708	398	1671	2201	162	674	2845	1787
FBtr0070046	562	2281	3436	8847	465	2120	14880	10752	240	2548	3706	7160	2096	1182	4750	7928	450	1763	9056	5347
FBtr0070050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070056	331	3402	0	18	538	3342	10	4	319	2104	3	10	5	1212	2	2	256	1375	13	5
FBtr0070057	331	3402	0	22	538	3346	12	6	319	2104	3	10	5	1214	4	4	256	1375	13	5
FBtr0070058	2759	15954	4475	18952	4144	15868	22362	7873	2195	12971	4771	10807	2491	4897	11262	9944	2688	10047	12788	7330
FBtr0070059	2759	15954	4475	18952	4144	15871	22363	7873	2195	12970	4771	10808	2491	4897	11264	9944	2688	10047	12788	7330
FBtr0070060	2759	15956	4475	18955	4146	15877	22367	7874	2195	12975	4771	10809	2491	4897	11266	9944	2688	10049	12790	7330
FBtr0070061	2761	15954	4475	18953	4144	15873	22364	7878	2195	12973	4771	10808	2492	4897	11269	9942	2691	10049	12792	7330
FBtr0070062	2759	15952	4474	18950	4144	15867	22361	7875	2195	12967	4771	10807	2491	4897	11263	9942	2688	10046	12787	7330
FBtr0070063	219	770	2104	11685	239	1325	13457	4910	134	831	2349	5602	1129	395	3854	6276	154	673	4977	4503
FBtr0070064	1056	6341	3264	12144	1050	3899	14943	6396	692	4067	3001	6474	1889	2388	4680	6629	799	3157	7911	4966
FBtr0070065	548	2883	2367	9083	590	2372	10869	4849	364	2095	2202	4665	1310	1231	3415	5217	428	1646	6009	3943
FBtr0070066	33	87	25	186	35	189	353	140	20	153	24	201	12	63	642	123	14	111	392	24
FBtr0070067	33	86	24	186	35	190	353	140	20	153	24	201	12	63	643	123	13	111	392	24
FBtr0070068	33	86	24	186	35	190	353	140	20	153	24	201	12	63	643	123	13	111	392	24
FBtr0070069	7777	57994	9	10	7028	53651	20	7	5391	44982	10	14	22	23538	4	2	7334	37741	13	6
FBtr0070070	8	56	8	33	4	37	16	12	5	35	14	22	6	17	21	18	2	35	37	14
FBtr0070071	0	3	8	112	0	4	10	22	2	2	18	11	11	0	27	128	2	2	71	6
FBtr0070072	0	6	2	3	0	0	66	7	0	0	6	15	0	0	63	0	0	0	0	12
FBtr0070073	0	0	4	7	0	4	39	21	0	2	0	3	2	0	22	8	0	0	14	13
FBtr0070074	0	0	51	7	0	0	221	17	0	0	0	42	0	0	115	0	0	0	0	23
FBtr0070075	0	0	3	9	0	8	38	17	0	3	0	8	0	2	41	13	0	0	3	35
FBtr0070076	121	1104	1075	4515	142	892	5779	1672	99	641	919	2301	686	432	832	2617	93	567	2424	2410
FBtr0070077	20	381	14	108	38	217	163	54	35	205	28	53	19	105	37	40	29	140	74	37
FBtr0070078	6	41	2	24	9	10	14	3	4	18	3	11	0	17	2	11	0	12	8	7
FBtr0070079	385	2510	480	2261	484	2240	2736	971	244	1657	558	1279	289	947	974	1167	293	1182	1256	777
FBtr0070080	238	1347	367	807	176	988	879	348	127	1038	297	462	171	532	681	553	195	759	661	260
FBtr0070081	1714	5699	1929	7538	1888	7132	9419	3793	1152	6946	2065	4240	1099	3247	6065	4215	1274	5158	6282	2758
FBtr0070083	1420	5178	1599	6519	1533	6179	8088	3311	972	5866	1790	3640	938	2636	4908	3687	1037	4372	5366	2438
FBtr0070084	1487	5408	1620	6697	1592	6482	8323	3414	1002	6141	1842	3732	953	2718	5245	3804	1097	4589	5512	2536
FBtr0070085	1353	6147	1386	5505	1295	6117	6804	2438	835	5641	1451	3029	788	2604	3524	3093	1044	4503	4633	1805
FBtr0070086	1580	6438	1695	6346	1591	6767	7900	2817	985	6446	1674	3537	934	3133	4344	3504	1221	5072	5403	2027
FBtr0070087	1803	5999	2052	8114	1964	7465	9978	4086	1214	7261	2212	4528	1149	3436	6241	4440	1342	5404	6682	2953
FBtr0070088	959	5654	383	1159	391	1762	1910	833	601	2877	866	1415	269	1352	1397	619	405	1880	2358	698
FBtr0070089	488	3146	899	3955	546	2686	4687	1604	384	2117	1068	2393	466	923	1114	1766	446	1832	2589	1460
FBtr0070090	488	3145	899	3955	546	2685	4687	1604	384	2117	1068	2393	466	923	1114	1766	446	1832	2589	1460
FBtr0070091	63	53	65	266	81	339	386	158	53	301	56	149	27	169	622	118	64	242	234	142
FBtr0070092	4625	27792	4021	16345	4821	16741	17825	7971	3547	19435	3849	10159	2716	8561	12416	9479	3476	14141	11322	5318
FBtr0070093	4609	27754	4016	16288	4795	16771	17757	7941	3519	19338	3818	10111	2697	8488	12314	9435	3469	14071	11271	5313
FBtr0070094	190	1187	1268	5834	252	1382	6796	2674	154	892	1243	3465	769	464	3012	3483	185	573	3237	2027
FBtr0070095	64	364	56	180	61	320	245	87	39	256	49	111	43	155	107	114	48	218	158	72
FBtr0070097	49	322	283	1139	62	355	1556	466	32	199	231	637	179	141	243	684	41	165	629	605
FBtr0070098	317	1375	955	5017	468	2253	6139	2366	235	1457	1148	2563	585	717	2705	2822	320	1175	2569	2037
FBtr0070099	96197	518256	76185	114189	20595	409776	224003	139456	32986	434819	70377	86892	21534	342910	386028	101981	58885	371971	201813	64289
FBtr0070100	184	1041	428	519	147	620	656	458	129	1249	168	425	389	377	1110	612	151	672	1805	171
FBtr0070101	36	229	112	446	93	503	495	303	52	309	103	288	81	116	358	220	65	221	367	112
FBtr0070102	36	229	112	446	93	503	495	304	52	309	103	288	81	116	358	220	65	221	367	112
FBtr0070103	43	256	49	208	63	453	263	60	38	243	44	103	19	153	110	77	59	187	126	52
FBtr0070106	436	3024	641	2156	489	1909	2788	1516	341	2034	685	1314	397	971	1305	1258	411	1545	1837	687
FBtr0070107	79	507	909	3391	83	402	4381	1848	74	395	758	1815	529	189	1145	2004	85	409	2254	1664
FBtr0070108	77	498	882	3306	77	399	4304	1803	74	382	746	1772	524	182	1113	1975	82	389	2199	1630
FBtr0070109	846	2192	938	4205	1061	5344	5298	1480	639	3593	944	2042	450	1412	2481	2123	852	3028	2448	1038
FBtr0070110	85	321	31	66	113	437	124	58	55	185	26	34	12	108	509	57	36	187	127	9
FBtr0070115	1095	8559	2011	6311	928	4038	8264	3316	715	4324	1876	4676	1018	2452	2770	2999	756	3172	4645	1997
FBtr0070116	107	713	527	2858	151	880	3463	1199	102	563	580	1387	395	235	1017	1867	101	497	1453	1231
FBtr0070117	109	719	535	2880	151	886	3493	1217	102	575	584	1403	397	235	1039	1881	103	497	1465	1239
FBtr0070118	108	715	528	2867	151	881	3468	1203	102	568	583	1392	396	236	1023	1871	101	499	1454	1234
FBtr0070119	111	786	1109	4414	181	906	5255	1973	83	640	1134	2666	595	335	2124	2366	115	385	2599	1271
FBtr0070120	781	3771	1029	4473	885	3881	4974	1968	487	3037	1050	2503	578	1374	2826	2491	579	2371	2533	1547
FBtr0070121	232	1502	477	2293	261	1130	2608	815	169	892	478	1423	304	621	1100	1391	179	696	1357	993
FBtr0070122	2019	15141	4901	19801	2055	8181	24734	8747	1500	8468	5001	11432	2639	4491	5896	10527	1651	6827	14291	8116
FBtr0070123	3523	24703	16688	53925	3236	13430	70533	30108	2476	16076	14462	31717	9281	7840	15930	30028	2735	13036	37943	22785
FBtr0070124	3561	24914	16863	54389	3272	13608	71206	30472	2501	16268	14613	31994	9368	7934	16127	30283	2784	13211	38369	22988
FBtr0070125	3520	24678	16644	53775	3231	13407	70312	30010	2472	16049	14426	31643	9253	7827	15901	29913	2733	13014	37830	22692
FBtr0070126	3540	24802	16729	53982	3245	13488	70645	30204	2487	16153	14498	31782	9293	7875	15985	30020	2757	13106	38030	22789
FBtr0070127	3554	24860	16772	54085	3252	13537	70795	30274	2493	16199	14537	31847	9320	7898	16047	30083	2770	13163	38151	22836
